大分類,分類,代碼,中文名稱,支付點數(115.09.01),常用別名/縮寫,常見申報提醒(非官方),支付規範摘要
處置,泌尿處置,50024B,尿路結石體外震波碎石術第二次,,ESWL SWL 震波碎石 第二次,ESWL「第二次」限 30 日內對同一側再次施行；同日雙側施行時，先做的一側以第一次(50023B)、後做的一側以第二次(本碼)計，詳見上方支付規範。,1.包括下列項目includingfollowingitems(1)治療費treatmentfee(2)一般材料費及特材費(不得再申報電擊棒之特材費用)generalmaterialfee&specialmaterialfee(3)機器維護費machinemaintenancefee(4)手術費operationfee2.第二次係指三十日內實施之第二次。3.本項以「側」為給付單位，同側不同病灶之部位同日施行治療，以治療乙次計。4.同日施行兩側治療，另一側以第二次計。5.三十日內同側第三次以上治療，應檢具X光片專案申請，經保險人同意後施行，費用比照第二次申報。6.申報費用應檢附當次暨前次實施體外電震波腎臟碎石術(ESWL)紀錄影本憑核。7.麻醉費得另外申報。8.完全鹿角結石之第一次治療，須事前專案申請並詳細說明其必要性。9.醫療機構條件：(1)應為醫院。(2)應有專任之泌尿科專科醫師二名以上；離島地區醫療機構應有一名專任之泌尿科專科醫師，另一名泌尿科專科醫師得以兼任方式為之；非離島地區醫療機構，若一名泌尿科醫師係以「醫學中心支援離島及醫療資源不足地區醫院緊急醫療照護服務獎勵計畫」全年全時段支援該院，得比照上述離島地區規定。(3)應有下列經皮腎結石取石術及輸尿管鏡碎石手術設備：A.X光透視機B.腎臟鏡C.輸尿管鏡D.至少ㄧ種經內視鏡碎石機(如氣動式撞擊碎石機超音波碎石機、雷射碎石機、電擊碎石(electrohydrauliclithotriptor))。10.操作醫師資格：應具泌尿科專科醫師資格，並符合下列條件：(1)實際操作體外震波碎石機五十例以上之經驗，經服務醫院審查通過，發給證明文件。(2)依操作機型，應有下列相關訓練：A.操作ｘ光線定位機型，應有輻射安全證書或輻射防護訓練證明。B.操作超音波定位機型，應有泌尿系統超音波訓練證明。11.適應症符合下列任一條件：(1)輸尿管結石零點五公分以上。(2)輸尿管結石未滿零點五公分且併有明顯阻塞性腎水腫、重複感染或重複腎絞痛者。(3)腎臟結石或腎盞結石零點五公分以上至二公分以下。
處置,泌尿處置,50027B,治療尿路迴流之膀胱三角下層注射術,,VUR Deflux STING 膀胱輸尿管逆流 注射,,1.含鏡檢費用。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。
處置,泌尿處置,50029C,膀胱鏡檢及硝酸銀腎臟灌洗術,,silver nitrate 乳糜尿 chyluria,,1.為保障保險對象權益，施行前須先評估其適當性及危險性。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。
處置,泌尿處置,50030C,膀胱內血塊清除術,,clot evacuation 血塊 血尿 清血塊,,
處置,泌尿處置,50032C,嵌頓性包皮徒手整復術,,paraphimosis 包皮嵌頓 復位,,
處置,泌尿處置,50033C,疝氣徒手復位術,,hernia reduction 疝氣推回,,
處置,泌尿處置,50034C,副睪丸取精術,,PESA 副睪取精 取精,,註:僅限局部病灶治療，施行人工協助生殖技術者不得申報。
處置,泌尿處置,50035B,腎臟腫瘤冷凍治療,,cryoablation 冷凍治療 腎腫瘤,,1.限高危險病患不適接受傳統手術及麻醉者施行2.個案需事前專案向保險人申請3.含括手術技術費、定位技術費、一般材料費及特殊材料費等。
處置,泌尿處置,50036B,膀胱內注射術,,Botox 肉毒 botulinum 膀胱注射 intravesical injection,,註：1.適應症：膀胱神經肌肉功能障礙(ICD-10-CM：N31)、尿失禁(ICD-10-CM：N39.3-N39.498、R32、R39.81、F98.0)、膀胱過動症(ICD-10-CM：N32.81)。2.禁忌症：嚴重尿路感染。3.限泌尿科、婦產科專科醫師執行。4.內含膀胱鏡及膀胱鏡注射針等費用。
處置,泌尿處置,47013C,一般導尿,,單導 導尿 in-and-out 單次導尿 straight cath,,註:1.含一般導尿管、尿袋等材料費。2.提升兒童加成項目。
處置,泌尿處置,47014C,留置導尿,,Foley 放尿管 留置尿管 導尿管 indwelling catheter,,含一般導尿管、尿袋等材料費。
處置,泌尿處置,47087C,尿失禁電刺激治療,,骨盆底電刺激 pelvic floor electrical stimulation 尿失禁復健,,
處置,泌尿處置,49022B,迴腸膀胱永久裝具裝置,,,,
處置,泌尿處置,29019C,膀胱穿刺,,suprapubic aspiration 恥骨上穿刺,,93.6.14健保醫字第0930060063號公告點數修訂。
處置,泌尿處置,29020C,陰囊水腫抽吸,,hydrocele aspiration 陰囊水腫抽吸,,93.6.14健保醫字第0930060063號公告中英文名稱及點數修訂。
處置,泌尿處置,29027C,睪丸穿刺,,,,
處置,泌尿處置,29028C,攝護腺穿刺,,prostate biopsy 攝護腺穿刺,,
檢查,內視鏡檢查,28019C,膀胱鏡檢查,,cysto cystoscopy 膀胱鏡 軟式膀胱鏡,,93.6.14健保醫字第0930060063號公告中英文名稱修正。。
檢查,內視鏡檢查,28020C,診斷性輸尿管鏡檢，包括輸尿管膀胱接合處，擴張術及膀胱鏡術,,URS diagnostic ureteroscopy 輸尿管鏡 診斷性,官方名稱僅為「診斷性輸尿管鏡檢」，未區分硬式／軟式輸尿管鏡，目前沒有獨立的軟式輸尿管鏡(RIRS)診斷代碼；臨床上多半仍以本碼申報，並於病歷/手術記錄註明「軟式輸尿管鏡／RIRS」以利區分技術別，惟不會因此變動點數。治療性軟鏡碎石請改用 77026B–77028B。【通則五】本項也未列單側／雙側，依通則五屬「對稱器官」，除另有規定外，表定點數已包含雙側費用，不得因雙側施行而加倍申報。,93.6.14健保醫字第0930060063號公告中英文名稱及點數修訂。
檢查,內視鏡檢查,28021C,尿道鏡檢查,,urethroscopy 尿道鏡,,93.6.14健保醫字第0930060063號公告點數修訂。
檢查,尿路動力學,21003C,外括約肌肌電圖,,EMG 肌電圖 sphincter,,
檢查,尿路動力學,21004C,尿流速圖,,uroflowmetry UFR uroflow 尿流速 解尿速度,,
檢查,尿路動力學,21005C,尿道壓力測量檢查,,UPP urethral pressure profile,,
檢查,尿路動力學,21006B,錄影尿流動力學檢查,,VUDS video urodynamics 錄影尿動力,,
檢查,尿路動力學,21007C,膀胱壓檢查,,CMG cystometry 膀胱壓,,
檢查,尿路動力學,21008C,膀胱掃描,,bladder scan 膀胱掃描 殘尿,,限尿滯留及排尿困難者申報
檢查,尿路動力學,21009B,膀胱壓力檢查及Urecholine反應測驗,,urecholine test,,
檢查,尿路動力學,21010C,膀胱超音波尿量測量,,PVR post-void residual 殘尿 餘尿 膀胱超音波,,同一病患視病情需要，每星期最多使用此法測量膀胱餘尿兩次。
檢查,尿路動力學,21011C,壓力尿流速圖,,pressure flow study PFS 壓力流速 urodynamic UDS 尿動力學,,
檢查,尿路動力學,21012B,應力尿道壓力測量檢查,,stress UPP 應力性尿失禁,,
檢查,尿路動力學,30510B,APR後膀胱機能測定,,,,
檢查,影像/超音波,19001C,"腹部超音波(包括肝liver,膽囊gallbladder,胰pancreas,脾spleen,下腔靜脈inferiorvenacava,腹主動脈abdominalaorta,腎kidney及其他腹部超音波abdominalothers在內)",,abdominal echo sono 腹部超音波 腎臟超音波 renal echo,,兒童加成項目。
檢查,影像/超音波,19017C,經尿道(直腸)超音波檢查,,TRUS transrectal ultrasound 經直腸超音波 攝護腺超音波,,
檢查,影像/超音波,32006C,腎臟、輸尿管、膀胱檢查,,KUB 腹部X光,,
檢查,影像/超音波,33012B,靜脈注射泌尿系統造影術(點滴注射),,IVP IVU intravenous pyelography 靜脈腎盂攝影,,包括加解後造影術及快速系列includingpost-voidingandrapidsequenceI.V.P.
檢查,影像/超音波,33013B,逆行性腎盂造影術－單側,,RP retrograde pyelography 逆行性腎盂攝影,,包括鏡檢費在內
檢查,影像/超音波,33014B,逆行性腎盂造影術－雙側,,RP retrograde pyelography 逆行性腎盂攝影 雙側,,包括鏡檢費在內
檢查,影像/超音波,33015B,膀胱造影術,,cystography 膀胱攝影,,人工膀胱造影術比照申報
檢查,影像/超音波,33016B,尿道排泄造影術,,VCUG voiding cystourethrography 排尿膀胱尿道攝影,,
檢查,影像/超音波,33017B,膀胱放置鏈條造影術,,chain cystography,,
檢查,影像/超音波,33018B,腹膜後充氣造影術,,,,
檢查,影像/超音波,33019B,順行性腎盂造影術,,antegrade pyelography 順行性,,
檢查,影像/超音波,33031B,尿道造影術,,RUG retrograde urethrography 尿道攝影,,
檢查,影像/超音波,33052B,輸精管造影,,vasography 輸精管攝影,,
檢查,影像/超音波,26019B,陰囊攝影,,scrotal scan,,
檢查,影像/超音波,26020B,腎臟掃描,,renal scan DMSA 腎掃描,,
檢查,影像/超音波,26050B,動態腎/泌尿功能測定,,renogram DTPA MAG3 腎功能掃描 利尿腎圖,,93.6.14健保醫字第0930060063號公告修訂中英文名稱及點數，開放表別。
檢查,影像/超音波,26071B,介入性動態腎/泌尿功能測定,,diuretic renogram lasix renogram,,93.6.14健保醫字第0930060063號公告增列本項。
檢查,影像/超音波,26021B,腎上腺掃描,,,,
檢查,放射介入,33032B,皮下穿刺腎造廔術,,PCN percutaneous nephrostomy 經皮腎造廔,,單側
檢查,放射介入,33095B,經皮腎造廔引流管重置術(重置經皮腎造廔引流管),,PCN change 換PCN 腎造廔管更換,,PCN特材請依實際使用核實申報。
檢查,放射介入,33099B,經皮輸尿管內管置放術,,antegrade DJ 經皮DJ 順行性支架,,
檢查,放射介入,33110B,放射線下經皮穿刺輸尿管成形術,,,,
檢查,放射介入,33111B,放射線下經皮穿刺取出斷裂輸尿管內管,,,,
檢查,放射介入,33047B,腎動靜脈造影,,,,包括單雙側
檢查,放射介入,33093B,雙側腎靜脈血液抽取術,,,,
檢驗,檢驗,06012C,尿一般檢查(包括蛋白、糖、尿膽元、膽紅素、尿沈渣、比重、顏色、混濁度、白血球酯脢、潛血、酸鹼度及酮體),,UA U/A urinalysis 尿液常規 尿檢,,
檢驗,檢驗,06013C,尿生化檢查(包括蛋白、糖、尿膽元、膽紅素、比重、顏色、混濁度、酸鹼度、白血球酯脢及酮體),,urine dipstick 尿生化,,
檢驗,檢驗,06009C,尿沉渣,,urine sediment 尿沉渣,,包括紅血球、白血球、圓柱體、上皮細胞、粘液、淋巴球、寄生虫等無染色標本檢查
檢驗,檢驗,06003C,尿蛋白,,,,
檢驗,檢驗,06503B,尿滲透壓檢驗,,,,
檢驗,檢驗,09078B,結石分析,,stone analysis 結石成分,,註：1.限泌尿道結石申報。2.同一患者，間隔時間應為兩年(含)以上。
檢驗,檢驗,12081C,攝護腺特異抗原(EIA/LIA法),,PSA 攝護腺特異抗原,,
檢驗,檢驗,12198C,游離攝護腺特異抗原,,free PSA fPSA 游離PSA,,
檢驗,檢驗,27052C,攝護腺特異抗原,,PSA RIA,,
檢驗,檢驗,27083B,游離攝護腺特異抗原,,free PSA RIA,,
檢驗,檢驗,27084C,二胺基酸攝護腺特異抗原前驅物(p2PSA),,p2PSA PHI,,1.適應症須符合下列各項條件：(1)PSA介於4.0ng/ml至10.0ng/ml間者。(2)尿液分析及臨床症狀已排除攝護腺感染或發炎。(3)肛門指診無異常。(4)五十歲以上，或未滿五十歲但有攝護腺癌家族史。2.每十二個月限執行一次。3.限由泌尿科專科醫師開立處方始可申報。4.須檢附八週內PSA報告及本次PHI指數於病歷紀錄備查。5.若PHI指數顯示為攝護腺癌低風險(PHI<30)，再檢測PSA至少間隔二十四週。
檢驗,檢驗,09042C,攝護腺酸性磷酸酶,,,,93.6.14健保醫字第0930060063號公告開放表別。
檢驗,檢驗,09121C,睪丸酯醇免疫分析,,testosterone 睪固酮 男性荷爾蒙,,
檢驗,檢驗,27081B,雄睪酮,,testosterone 睪固酮,,
檢驗,檢驗,16001C,精液分析,,semen analysis 精液檢查 精蟲,,"包括motility,count,morphology,amount,appearance,PH測定"
檢驗,檢驗,09002C,血中尿素氮,,BUN,,
檢驗,檢驗,09016C,肌酐、尿,,urine creatinine,,93.6.14健保醫字第0930060063號公告開放表別。
檢驗,檢驗,09003C,尿素氮、尿,,,,93.6.14健保醫字第0930060063號公告開放表別。
檢驗,檢驗,09013C,尿酸,,uric acid 尿酸,,
檢驗,檢驗,09015C,肌酸酐、血,,creatinine Cr 肌酸酐,,
檢驗,檢驗,09124B,血漿腎素活性免疫分析,,,,
手術,腎臟手術,76001B,腎周圍或腎臟腫瘤之引流術,5946,,,
手術,腎臟手術,76002B,腎盂切開探查引流或切除,16584,pyelotomy,,
手術,腎臟手術,76003B,腎臟切片手術,7572,renal biopsy open,,
手術,腎臟手術,76004B,腎切除術,10198,simple nephrectomy 腎切除,,受腎者腎切除術比照申報。
手術,腎臟手術,76005B,腎部份切除術,14240,PN partial nephrectomy 部分腎切除,,腎半切除術heminephrectomy比照申報
手術,腎臟手術,76006B,腎囊切除術，單側,5880,renal cyst excision 腎囊腫,,
手術,腎臟手術,76007B,根治性腎切除術併行淋巴清掃術或合併局部淋巴切除術,25780,radical nephrectomy LND 淋巴,,
手術,腎臟手術,76008B,腎袋狀成形術,7080,,,
手術,腎臟手術,76009C,腎臟固定術：固定式懸掛,6828,,,
手術,腎臟手術,76010C,腎臟造廔術(手術),6340,open nephrostomy,,
手術,腎臟手術,76011B,腎內取石及腎盂取石術,10757,nephrolithotomy pyelolithotomy 腎結石 開刀取石,,
手術,腎臟手術,76012B,腎鹿角石取石術,15060,staghorn 鹿角結石 anatrophic,,
手術,腎臟手術,76013B,腎縫合術,14580,,,
手術,腎臟手術,76014B,腎盂成形術,14407,pyeloplasty UPJO 腎盂輸尿管交界狹窄,,
手術,腎臟手術,76015B,腎盂造廔術,6440,,,
手術,腎臟手術,76016B,經皮腎結石取石術,13550,PCNL PNL percutaneous nephrolithotomy 經皮腎取石 腎結石,限「泌尿科專科醫師」施行（見上方支付規範），且超音波桿、取石網等費用已包含於一般材料費，不得另外加計。,1.超音波桿、取石網等費用包含於一般材料費內2.限泌尿科專科醫師施行。
手術,腎臟手術,76017B,經PCN腎臟鏡術,7332,nephroscopy PCN nephroscope,,1.第二次PCNSL比照申報2.限泌尿科專科醫師施行。
手術,腎臟手術,76018B,屍體捐腎切除術,39985,,,
手術,腎臟手術,76019B,活體捐腎切除術,43138,living donor nephrectomy 活體捐腎,,
手術,腎臟手術,76020B,腎臟移植,212256,kidney transplant renal transplantation KT 換腎,,一般材料費及器官保存液費用，得另加計百分之八十一。
手術,腎臟手術,76021B,腹腔鏡腎切除術,11530,LN laparoscopic nephrectomy 腹腔鏡腎切除,,
手術,腎臟手術,76022B,腎血管肌脂肪瘤摘除術,17088,AML angiomyolipoma,,
手術,腎臟手術,76023B,萎縮性腎結石截除術,16980,,,
手術,腎臟手術,76024B,內視鏡腎盂切開術,6440,endopyelotomy,,
手術,腎臟手術,76025B,腎輸尿管切除術，不包括輸尿管膀胱袖口切除術,15179,NU nephroureterectomy 腎輸尿管切除,,
手術,腎臟手術,76026B,腎輸尿管切除術，包括輸尿管膀胱袖口切除術,18826,NU nephroureterectomy bladder cuff UTUC 上泌尿道上皮癌,,
手術,腎臟手術,76027B,根治性腎切除術,25486,RN radical nephrectomy 根除性腎切除 RCC 腎細胞癌,,
手術,腎臟手術,76028B,根治性腎切除術合併下腔靜脈瘤栓切除術,34078,IVC thrombectomy tumor thrombus,,有(無)併局部淋巴切除術之手術費用一致。
手術,腎臟手術,76029B,(後)腹腔鏡腎臟囊腫除頂術,7056,renal cyst unroofing decortication 腎囊腫 腹腔鏡,,
手術,腎臟手術,76030B,(後)腹腔鏡腎臟輸尿管切除術,35790,LNU laparoscopic nephroureterectomy 腹腔鏡腎輸尿管切除 機械手臂 達文西 robotic,機械手臂輔助手術的醫師資格規定已於 115.09.01 生效版更新：不再是「訓練達二十小時」即可自行認定，而是須取得「機械手臂輔助手術系統」相關專科學會核發的認證醫師資格，且核發單位要檢附認證計畫書送保險人審核通過，執行醫師名單也須報請保險人核定。請確認貴院執行醫師是否已符合新規定，詳見上方支付規範。 ,執行「機械手臂輔助腎臟輸尿管切除術」，須符合下列規範：1.醫師資格：(1)具機械手臂輔助手術系統「泌尿科」認證學會認證醫師資格。(2)前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。2.執行手術之醫師名單應報經保險人核定。3.其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並於申報費用後二個月內應上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
手術,腎臟手術,76031B,(後)腹腔鏡部分腎臟切除術,34176,LPN laparoscopic partial nephrectomy 腹腔鏡部分腎切除,含機械手臂輔助部分腎切除；比照本項申報者須於申報後二個月內上傳手術相關資訊，逾期未上傳將不予支付，詳細條件見上方支付規範。,1.腎半切除術heminephrectomy比照申報。2.執行「機械手臂輔助部分腎切除」，須符合下列規範：(1)醫師資格：A.具機械手臂輔助手術系統「泌尿科」認證學會認證醫師資格。B.前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。(2)執行手術之醫師名單應報經保險人核定。(3)適應症：A.術前影像報告為非囊狀腫瘤或囊狀惡性腫瘤。B.除上述外，術前影像報告懷疑良性腎臟腫瘤，符合下列任一條件且須事前審查：(a)符合影像學上腫瘤大於四公分或有出血疑慮。(b)單一腎臟或腎功能不全，需接受部分腎切除者。(4)其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並應於申報費用後二個月內上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
手術,腎臟手術,76032B,(後)腹腔鏡腎盂取石術,10757,laparoscopic pyelolithotomy,,
手術,腎臟手術,76033B,(後)腹腔鏡腎盂成形術,17885,laparoscopic pyeloplasty UPJO,,
手術,腎臟手術,76034C,(後)腹腔鏡腎臟固定術,8194,,,
手術,腎臟手術,76035B,腹腔鏡腎盂成形術,19375,laparoscopic pyeloplasty UPJO,,
手術,腎臟手術,76036B,腹腔鏡活體捐腎切除術,69021,laparoscopic donor nephrectomy,,
手術,腎臟手術,76037B,腹腔鏡根治性腎切除術,46385,LRN laparoscopic radical nephrectomy 腹腔鏡根除性腎切除 機械手臂 達文西 robotic,機械手臂輔助手術的醫師資格規定已於 115.09.01 生效版更新：不再是「訓練達二十小時」即可自行認定，而是須取得「機械手臂輔助手術系統」相關專科學會核發的認證醫師資格，且核發單位要檢附認證計畫書送保險人審核通過，執行醫師名單也須報請保險人核定。請確認貴院執行醫師是否已符合新規定，詳見上方支付規範。 ,執行「機械手臂輔助根治性腎切除術」，須符合下列規範：1.醫師資格：(1)具機械手臂輔助手術系統「泌尿科」認證學會認證醫師資格。(2)前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。2.執行手術之醫師名單應報經保險人核定。3.其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並於申報費用後二個月內應上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
手術,腎臟手術,N26028,達文西腎臟移植,,robotic kidney transplant 機械手臂,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估項目
手術,腎臟手術,N26030,達文西部分腎切除,,RAPN robotic partial nephrectomy 機械手臂 達文西,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,費用年月109年12月起，符合支付規範適應症者，手術費按本署規範之未列項申報方式申報(比照支付標準76031B)
手術,腎臟手術,N26031,達文西其他腎臟手術,,robotic nephrectomy 機械手臂 達文西,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估項目
手術,腎臟手術,N20009,腎動脈神經阻斷術,,renal denervation RDN 高血壓,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估項目
手術,腎上腺手術,82009B,腎上腺切除術，單側,10430,adrenalectomy,,
手術,腎上腺手術,82010B,腎上腺切除術合併後腹腔腫瘤切除－單側,13609,,,腎上腺腫瘤切除術(resectionofadrenaltumor)比照申報。
手術,腎上腺手術,82011B,腎上腺切除術合併後腹腔腫瘤切除－雙側,14400,,,腎上腺腫瘤切除術(resectionofadrenaltumor)比照申報。
手術,腎上腺手術,82014B,腹腔鏡腎上腺切除,19623,LA laparoscopic adrenalectomy 腹腔鏡腎上腺,,
手術,輸尿管手術,77001B,輸尿管除(取)石術－上或下三分之一輸尿管,7944,ureterolithotomy 輸尿管取石 開刀,【通則五】官方名稱為「上或下三分之一輸尿管」，未標示單側／雙側；依通則五屬對稱器官，表定點數已包含雙側費用，雙側施行仍申報一次，不得加倍申報。,
手術,輸尿管手術,77002B,輸尿管除(取)石術－中三分之一輸尿管,6736,ureterolithotomy 輸尿管取石 開刀,【通則五】官方名稱為「中三分之一輸尿管」，未標示單側／雙側；依通則五屬對稱器官，表定點數已包含雙側費用，雙側施行仍申報一次，不得加倍申報。,
手術,輸尿管手術,77003B,輸尿管切除術，包括膀胱袖口,10069,distal ureterectomy bladder cuff,,
手術,輸尿管手術,77004B,輸尿管成形術－單側,8586,,,
手術,輸尿管手術,77005B,輸尿管成形術－雙側,10572,,,
手術,輸尿管手術,77006B,輸尿管剝離術－單側,8496,,,
手術,輸尿管手術,77007B,輸尿管剝離術－雙側,10344,,,
手術,輸尿管手術,77008B,輸尿管腎盂造口吻合術或重建術,12020,ureteropyelostomy,,
手術,輸尿管手術,77009B,輸尿管和輸尿管吻合術,12040,ureteroureterostomy UU,,
手術,輸尿管手術,77010B,輸尿管及對側輸尿管吻合術,15720,transureteroureterostomy TUU,,
手術,輸尿管手術,77011B,輸尿管膀胱重建術－單側,14082,ureteral reimplantation UNC ureteroneocystostomy 輸尿管再植,,
手術,輸尿管手術,77012B,輸尿管膀胱重建術－雙側,16310,ureteral reimplantation bilateral 雙側,,
手術,輸尿管手術,77013B,輸尿管小腸吻合術－單側,9600,,,
手術,輸尿管手術,77014B,輸尿管小腸吻合術－雙側,11333,,,
手術,輸尿管手術,77015B,輸尿管乙狀結腸造口吻合術,10800,,,
手術,輸尿管手術,77016B,以腸管取代全部或部分輸尿管，包括腸管吻合術－單側,12960,,,
手術,輸尿管手術,77017B,以腸管取代全部或部分輸尿管，包括腸管吻合術－雙側,17040,,,
手術,輸尿管手術,77018B,輸尿管皮膚吻合術－單側,8231,cutaneous ureterostomy,,
手術,輸尿管手術,77019B,輸尿管皮膚吻合術－雙側,10148,,,
手術,輸尿管手術,77020B,表皮輸尿管廔管閉合術,8496,,,
手術,輸尿管手術,77021B,輸尿管膀胱廔管閉合術,10344,,,
手術,輸尿管手術,77022B,輸尿管迴腸皮膚吻合術,13675,ileal conduit Bricker 迴腸導管,,
手術,輸尿管手術,77023C,輸尿管插管術,2506,ureteral catheterization,,手術中插管不另支付。
手術,輸尿管手術,77024B,輸尿管狹窄內擴張術,2904,ureteral dilatation balloon 氣球擴張 狹窄,,輸尿管鏡另計。
